"Date","Open","High","Low","Close","Volume"
"02/23/2023","203.91","205.14","196.33","202.07","146,360,000"
"02/22/2023","197.93","201.99","191.78","200.86","191,828,500"
"02/21/2023","204.99","209.71","197.22","197.37","180,018,600"
"02/17/2023","199.985","208.44","197.5","208.31","213,738,500"
"02/16/2023","210.78","217.65","201.84","202.04","229,586,500"
"02/15/2023","211.755","214.66","206.11","214.24","182,108,600"
"02/14/2023","191.94","209.82","189.44","209.25","216,455,700"
"02/13/2023","194.415","196.3","187.61","194.64","172,475,500"
"02/10/2023","202.225","206.2","192.89","196.89","204,754,100"
"02/09/2023","207.775","214","204.77","207.32","215,431,400"
"02/08/2023","196.1","203","194.31","201.29","180,673,600"
"02/07/2023","196.43","197.5","189.55","196.81","186,010,300"
"02/06/2023","193.01","198.17","189.92","194.76","186,188,100"
"02/03/2023","183.95","199","183.69","189.98","232,662,000"
"02/02/2023","187.325","196.7501","182.61","188.27","217,448,300"
"02/01/2023","173.89","183.805","169.93","181.41","213,806,300"
"01/31/2023","164.57","174.3","162.78","173.22","196,813,500"
"01/30/2023","178.05","179.77","166.5","166.66","230,878,800"
"01/27/2023","162.43","180.68","161.17","177.9","306,590,600"
"01/26/2023","159.965","161.42","154.76","160.27","234,815,100"
"01/25/2023","141.905","146.41","138.07","144.43","192,734,300"
"01/24/2023","143","146.5","141.1","143.89","158,699,100"
"01/23/2023","135.87","145.3793","134.27","143.75","203,119,200"
"01/20/2023","128.68","133.51","127.3466","133.42","138,858,100"
"01/19/2023","127.26","129.99","124.3082","127.17","170,291,900"
"01/18/2023","136.555","136.68","127.01","128.78","195,680,300"
"01/17/2023","125.695","131.7","125.02","131.49","186,477,000"
"01/13/2023","116.55","122.63","115.6","122.4","180,714,100"
"01/12/2023","122.56","124.1311","117","123.56","169,400,900"
"01/11/2023","122.09","125.95","120.51","123.22","183,810,800"
"01/10/2023","121.07","122.76","114.92","118.85","167,642,500"
"01/09/2023","118.96","123.52","117.11","119.77","190,284,000"
"01/06/2023","103","114.39","101.81","113.06","220,911,100"
"01/05/2023","110.51","111.75","107.1601","110.34","157,986,300"
"01/04/2023","109.11","114.59","107.52","113.64","180,389,000"
"01/03/2023","118.47","118.8","104.64","108.1","231,402,800"
"12/30/2022","119.95","124.48","119.75","123.18","157,777,300"
"12/29/2022","120.385","123.57","117.495","121.82","221,923,300"
"12/28/2022","110.35","116.27","108.24","112.71","221,070,500"
