"series","o","h","l","c","v"
"20191112T","23.1267","23.358","22.936","23.3287","110390690"
"20191113T","23.6667","23.7553","23.012","23.074","127017881"
"20191114T","23.074","23.5893","22.8607","23.29","97075496"
"20191115T","23.376","23.52","23.224","23.478","72188409"
"20191118T","23.5278","23.5433","23.0733","23.3327","66127542"
"20191119T","23.45","23.9993","23.1867","23.968","116041112"
"20191120T","24.0","24.08","23.3047","23.4813","101009424"
"20191121T","23.634","24.056","23.6003","23.6553","91650149"
"20191122T","22.6773","22.7333","22.0","22.2027","253059473"
"20191125T","22.9547","22.9713","22.2973","22.4227","185186457"
"20191126T","22.3513","22.3667","21.8067","21.928","119343525"
"20191127T","22.0747","22.262","21.9047","22.086","83451843"
"20191129T","22.074","22.084","21.8333","21.996","36984417"
"20191202T","21.96","22.4255","21.9125","22.3247","91229744"
"20191203T","22.1747","22.5273","22.1457","22.4133","99202090"
"20191204T","22.5167","22.524","22.19","22.202","83043783"
"20191205T","22.1887","22.2949","21.8167","22.0247","56054612"
"20191206T","22.3333","22.5907","22.318","22.3927","114283998"
"20191209T","22.4393","22.9633","22.3387","22.6353","135603187"
"20191210T","22.664","23.382","22.6207","23.256","132599199"
"20191211T","23.4584","23.8127","23.406","23.5133","103787378"
"20191212T","23.6613","24.1827","23.5487","23.9787","116643107"
"20191213T","24.07","24.3473","23.6427","23.8927","98614166"
"20191216T","24.17","25.574","24.1667","25.4333","273313963"
"20191217T","25.266","25.7","25.06","25.266","127556561"
"20191218T","25.3753","26.348","25.372","26.21","212045744"
"20191219T","26.488","27.1233","26.4333","26.936","271804514"
"20191220T","27.3527","27.5333","26.679","27.0393","221778039"
"20191223T","27.452","28.134","27.3333","27.948","199992200"
"20191224T","27.8907","28.3647","27.5125","28.35","120820740"
"20191226T","28.5273","28.8987","28.4233","28.7293","159724270"
"20191227T","29.0","29.0207","28.4073","28.692","149352330"
"20191230T","28.586","28.6","27.2839","27.6467","189018955"
"20191231T","27.0","28.086","26.8053","27.8887","154386823"
"20200102T","28.3","28.7131","28.114","28.684","143375718"
"20200103T","29.3667","30.2667","29.128","29.534","266920367"
"20200106T","29.3647","30.104","29.3333","30.1027","152362424"
"20200107T","30.76","31.442","30.2237","31.2707","273136963"
"20200108T","31.58","33.2327","31.2153","32.8094","467990616"
"20200109T","33.14","33.2533","31.5247","32.0893","426947637"
"20200110T","32.1193","32.3293","31.58","31.8767","194652353"
"20200113T","32.9","35.042","32.8","34.9907","399518050"
"20200114T","36.2837","36.494","34.9934","35.8614","435920482"
"20200115T","35.3174","35.856","34.4524","34.5667","260532320"
"20200116T","32.9167","34.2974","32.8113","34.2327","326049587"
"20200117T","33.8407","34.378","33.544","34.0333","204435948"
"20200121T","35.35","36.572","35.2274","36.48","267051916"
"20200122T","38.126","39.6334","37.2734","37.9707","470535215"
"20200123T","37.6167","38.8","37.0402","38.1467","294765453"
"20200124T","38.042","38.2574","36.9507","37.6547","215303892"
"20200127T","36.1327","37.6294","35.952","37.2014","204120948"
"20200128T","37.8994","38.454","37.2054","37.7934","176827262"
"20200129T","38.3794","39.32","37.8287","38.7327","273249913"
"20200130T","42.1614","43.392","41.2","42.7207","435084982"
"20200131T","42.6667","43.5334","42.168","43.3714","235788932"
"20200203T","44.9127","52.4094","44.9014","52.0","708502146"
"20200204T","58.864","64.5994","55.592","59.1374","914080943"
"20200205T","54.884","56.3987","46.9407","48.98","726357237"
"20200206T","46.6614","53.0554","45.8","49.9307","598210951"
"20200207T","48.7034","51.3167","48.6667","49.8714","255952672"
"20200210T","53.3334","54.666","50.16","51.4187","370337215"
"20200211T","51.2527","52.2338","50.5334","51.6254","175461962"
"20200212T","51.858","52.65","50.8914","51.1527","180336960"
"20200213T","49.456","54.5334","49.0","53.6","394340053"
"20200214T","52.4814","54.198","52.3667","53.3354","235405532"
"20200218T","56.1067","57.3334","55.4907","57.2267","250475425"
"20200219T","61.5667","62.9854","60.068","61.1614","381344209"
"20200220T","60.7967","60.8","57.3294","59.9607","264523218"
"20200221T","60.4654","60.8707","58.6967","60.0667","215091642"
"20200224T","55.9334","57.5667","54.8134","55.586","227882286"
"20200225T","56.6","57.1067","52.4667","53.3274","259357070"
"20200226T","52.1667","54.2207","51.7407","51.92","212307494"
"20200227T","48.6667","49.318","44.6","45.2667","364157218"
"20200228T","41.98","46.0347","40.768","44.5327","368462366"
"20200302T","47.4174","49.5794","45.778","49.5747","302924699"
"20200303T","53.6667","53.7987","47.7407","49.7007","386759807"
"20200304T","50.9307","51.1014","48.3157","49.9667","225734587"
"20200305T","48.2514","49.7167","47.8714","48.3027","162789819"
"20200306T","46.0003","47.1334","45.618","46.8987","189943705"
"20200309T","40.3594","44.1999","40.3334","40.5334","256105972"
"20200310T","43.962","44.5334","40.5334","43.022","233916483"
"20200311T","42.68","43.572","40.8667","42.282","201203749"
"20200312T","38.726","39.6334","36.4167","37.37","283635608"
"20200313T","39.6667","40.5047","33.4667","36.4414","339603580"
"20200316T","31.3","32.9913","29.478","29.6713","307341746"
"20200317T","29.334","31.4567","26.4","28.68","359918520"
"20200318T","25.9333","26.9907","23.3673","24.0813","356792222"
"20200319T","24.9798","30.1333","23.8973","28.5093","452931674"
"20200320T","29.2133","31.8","28.386","28.502","424282288"
"20200323T","28.9067","29.4667","27.3667","28.9527","246818127"
"20200324T","31.82","34.246","31.6","33.6667","343427378"
"20200325T","36.35","37.1334","34.074","35.95","318341091"
"20200326T","36.4927","37.3334","34.15","35.2107","261331069"
"20200327T","33.6667","35.0534","32.9353","34.2907","215661042"
"20200330T","34.0174","34.4432","32.7487","33.4753","179970960"
"20200331T","33.4167","36.1974","33.1334","34.9334","266572217"
"20200401T","33.6","34.2637","31.6733","32.104","200297600"
"20200402T","32.0687","32.9507","29.76","30.298","297876301"
"20200403T","33.9667","34.366","31.226","32.0007","338431031"
"20200406T","34.08","34.7334","33.1974","34.416","223527488"
"20200407T","36.3334","37.6667","35.4894","36.3634","268796566"
"20200408T","36.9467","37.1472","35.5554","36.5894","189840205"
"20200409T","37.4727","38.3455","37.1407","38.2","204749898"
"20200413T","39.344","43.4667","38.702","43.3967","337131131"
"20200414T","46.598","49.4587","46.162","47.326","458647421"
"20200415T","49.4667","50.2087","47.3334","48.6554","353654823"
"20200416T","47.796","50.63","47.1144","49.6807","309867745"
"20200417T","51.4854","51.6634","49.844","50.2594","196923352"
"20200420T","48.8467","51.038","47.4807","49.7574","221195439"
"20200421T","48.6747","50.222","44.9194","45.7814","303136198"
"20200422T","46.932","48.9334","45.914","48.8074","213372343"
"20200423T","48.5067","48.9334","46.8754","47.042","198550401"
"20200424T","47.3874","48.7154","46.5454","48.3434","198564051"
"20200427T","49.174","53.2994","49.0","53.25","310221445"
"20200428T","53.0427","53.6667","50.446","51.2747","228329286"
"20200429T","52.678","53.5467","52.2107","53.3674","243239578"
"20200430T","57.0127","57.988","50.9","52.1254","427077536"
"20200501T","50.3334","51.518","45.536","46.7547","487976906"
"20200504T","46.7334","50.8","46.5334","50.746","288556206"
"20200505T","52.6527","53.2614","50.812","51.214","254874773"
"20200506T","51.7667","52.6534","50.7407","52.172","166848367"
"20200507T","51.814","53.0934","51.49","52.0027","172915264"
"20200508T","52.918","54.9334","52.4674","54.628","241951229"
"20200511T","52.7007","54.9334","52.3334","54.086","247793876"
"20200512T","55.1334","56.2194","53.8667","53.9607","238603531"
"20200513T","54.722","55.0667","50.8867","52.7307","285982207"
"20200514T","52.0","53.5574","50.9334","53.5554","205232747"
"20200515T","52.69","53.6699","52.4368","53.278","157776371"
"20200518T","55.1854","55.648","53.592","54.242","175471412"
"20200519T","54.3447","54.8047","53.7387","53.8674","144547758"
"20200520T","54.7","55.0667","54.12","54.3707","109639010"
"20200521T","54.4","55.5","53.0667","55.1734","183818608"
"20200522T","54.8116","55.452","54.1334","54.4587","149812050"
"20200526T","55.6334","55.64","54.3804","54.5914","121345979"
"20200527T","54.724","55.1807","52.3334","54.682","173242863"
"20200528T","54.234","54.9834","53.446","53.7207","109136555"
"20200529T","53.9167","55.6667","53.614","55.6667","177187261"
"20200601T","57.2","59.9334","56.94","59.8734","226279387"
"20200602T","59.6467","60.5774","58.0667","58.7707","203483898"
"20200603T","59.208","59.8627","58.6734","58.864","119241975"
"20200604T","59.3254","59.7167","57.2294","57.6254","133315628"
"20200605T","58.5227","59.1014","57.7467","59.044","117178696"
"20200608T","61.2667","63.3334","60.6107","63.328","212620844"
"20200609T","62.6674","63.6294","61.5954","62.7114","170822165"
"20200610T","66.1254","68.4987","65.5","68.3367","278451011"
"20200611T","66.0134","67.9307","64.8","64.856","238747081"
"20200612T","65.3334","65.8654","60.84","62.352","251450424"
"20200615T","61.186","66.5894","60.5667","66.06","235457582"
"20200616T","67.4567","67.5254","64.1594","65.4754","210766095"
"20200617T","65.8474","67.0","65.5048","66.1194","148361926"
"20200618T","66.8667","67.9467","66.2981","66.9307","146278967"
"20200619T","67.5187","67.7314","66.0894","66.7267","130196170"
"20200622T","66.6634","67.2587","66.0014","66.288","95435202"
"20200623T","66.592","67.4667","66.2674","66.7854","95479017"
"20200624T","66.274","66.7257","63.5428","64.0567","164393768"
"20200625T","63.618","65.732","62.4767","65.732","138818166"
"20200626T","66.3187","66.3334","63.658","63.9827","132823554"
"20200629T","64.6007","67.3334","63.2347","67.29","135395992"
"20200630T","67.1","72.5127","66.9154","71.9874","253777373"
"20200701T","72.2","75.6887","72.0334","74.642","199903400"
"20200702T","81.432","81.8667","79.04","80.5774","258751671"
"20200706T","85.1127","91.8527","84.403","91.4387","308547746"
"20200707T","93.6674","95.3","89.114","92.6574","322344739"
"20200708T","93.6667","94.484","87.4227","91.0587","244669528"
"20200709T","93.1327","93.904","90.0854","92.952","175763912"
"20200710T","93.0667","103.2611","91.7341","102.9767","350063075"
"20200713T","110.6001","119.6661","98.0741","99.8041","584780108"
"20200714T","103.7334","106.0001","95.4","101.1201","351271924"
"20200715T","102.8667","103.3334","97.1334","103.0674","245517327"
"20200716T","98.4774","102.1141","97.7334","100.0427","214511743"
"20200717T","100.8967","102.5007","99.3334","100.056","139949510"
"20200720T","101.2674","110.0001","99.2001","109.5334","256820422"
"20200721T","109.3287","111.6667","103.8667","104.5574","242359079"
"20200722T","106.6001","108.4281","104.1334","106.1554","212416094"
"20200723T","111.9301","112.6001","98.718","100.8714","364927318"
"20200724T","94.4007","97.6667","91.1027","94.4667","290949155"
"20200727T","95.6667","103.1961","94.2001","102.6401","240729930"
"20200728T","100.2667","104.3134","98.2947","98.4327","237130381"
"20200729T","100.0667","102.3207","99.1334","99.9407","141403324"
"20200730T","99.2001","100.8827","98.0667","99.166","114315528"
"20200731T","101.0001","101.1367","94.732","95.384","183704308"
"20200803T","96.6134","100.6541","96.2923","99.0","132140124"
"20200804T","99.6674","101.8274","97.4667","99.1334","126224787"
"20200805T","99.5327","99.9893","97.8874","99.0014","74670188"
"20200806T","99.3887","101.1541","98.484","99.3054","89884650"
"20200807T","99.9692","99.9834","94.334","96.8474","133446233"
"20200810T","96.5334","97.1667","92.3894","94.5714","112833904"
"20200811T","93.0667","94.6667","91.0","91.626","129387445"
"20200812T","98.0","105.6667","95.6667","103.6507","328482286"
"20200813T","107.4001","110.0787","104.4841","108.0667","306379497"
"20200814T","110.9994","111.2534","108.4427","110.0474","188664056"
"20200817T","111.8001","123.0574","111.5221","122.3761","303634648"
"20200818T","126.5994","128.2601","123.0074","125.8061","247117226"
"20200819T","124.3334","127.4001","122.7474","125.2354","183079858"
"20200820T","124.0454","134.7994","123.8041","133.4554","309176845"
"20200821T","136.3174","139.6994","135.0034","136.6654","322343239"
"20200824T","141.7517","141.9334","128.5014","134.2801","300954150"
"20200825T","131.6594","135.1967","131.2001","134.8894","159883270"
"20200826T","137.3334","144.4001","136.9087","143.5447","213590593"
"20200827T","145.3641","153.0401","142.8334","149.2501","355395422"
"20200828T","153.0081","154.5661","145.7681","147.5601","301217549"
"20200831T","148.2033","166.7133","146.7033","166.1067","355123236"
"20200901T","167.38","167.4966","156.8367","158.35","270358287"
"20200902T","159.6633","159.68","135.0402","149.1233","288528419"
"20200903T","135.7433","143.9333","134.0","135.6667","262788296"
"20200904T","134.27","142.6667","124.0067","139.44","330965733"
"20200908T","118.6667","122.9133","109.96","110.07","346397135"
"20200909T","118.8667","123.0","113.8367","122.0933","238397334"
"20200910T","128.7367","132.9967","120.1867","123.78","254791855"
"20200911T","127.3133","127.5","120.1667","124.24","182152398"
"20200914T","126.9833","140.0","124.4333","139.8733","249061855"
"20200915T","145.52","153.98","143.5667","149.92","291894719"
"20200916T","146.6233","152.5967","145.1033","147.2533","217640302"
"20200917T","138.5333","145.93","136.0","141.1433","230337503"
"20200918T","149.3133","150.3333","142.9333","147.3833","259220486"
"20200921T","151.0433","151.8933","135.69","149.7967","328430433"
"20200922T","143.2","145.92","139.2","141.41","238742424"
"20200923T","135.0533","137.3833","125.2934","126.7867","285222569"
"20200924T","121.2667","133.1667","117.1","129.2633","289683209"
"20200925T","131.1567","136.2441","130.4333","135.78","201625400"
"20200928T","141.54","142.6933","138.5167","140.4","149158695"
"20200929T","138.6667","142.8333","137.2","139.69","151024215"
"20200930T","140.44","144.6433","140.1567","143.0033","144436724"
"20201001T","146.92","149.6267","144.8067","149.3867","152224365"
"20201002T","140.4633","146.3767","138.3333","138.3633","214290111"
"20201005T","141.1167","144.5467","139.7767","141.8933","134168383"
"20201006T","141.2633","142.9266","135.35","137.9933","147438795"
"20201007T","139.9567","143.3","137.9483","141.7667","129383143"
"20201008T","146.1467","146.3333","141.7667","141.9733","121263372"
"20201009T","143.3767","144.8633","142.1534","144.6667","86776989"
"20201012T","147.3333","149.58","146.1933","147.4333","116373402"
"20201013T","147.7833","149.63","145.5333","148.8833","103391020"
"20201014T","149.9267","155.3","149.1167","153.7667","144136184"
"20201015T","150.1033","152.19","147.5","149.6267","107017061"
"20201016T","151.48","151.9833","146.2833","146.5567","98327650"
"20201019T","148.7467","149.0","142.9567","143.61","108863531"
"20201020T","143.9167","143.9167","139.6834","140.6467","94968879"
"20201021T","140.9","144.3167","140.4167","140.88","97111390"
"20201022T","147.3067","148.41","141.5033","141.93","119979582"
"20201023T","140.6133","140.962","135.7934","140.21","101150950"
"20201026T","137.21","141.92","136.6667","140.0933","84717488"
"20201027T","141.2533","143.5","140.0333","141.56","68059537"
"20201028T","138.8267","139.5333","135.3333","135.34","76354238"
"20201029T","136.6533","139.3533","135.4867","136.9433","67965937"
"20201030T","135.6318","135.8638","126.37","129.3467","127762933"
"20201102T","131.3333","135.66","130.7667","133.5033","87063369"
"20201103T","136.5767","142.59","135.5633","141.3","103055170"
"20201104T","143.54","145.1333","139.0333","140.3267","96429190"
"20201105T","142.7667","146.6667","141.3334","146.03","85243569"
"20201106T","145.3667","145.5233","141.4267","143.3167","65118037"
"20201109T","146.5","150.8333","140.3333","140.42","104499100"
"20201110T","140.03","140.03","132.01","136.7867","90852669"
"20201111T","138.8167","139.565","136.86","139.0433","52073165"
"20201112T","138.35","141.0","136.5067","137.2533","59821506"
