"Date","Open","High","Low","Close","Volume"
"2011-10-24","1.8580","1.9260","1.8500","1.9033","14108243"
"2011-10-25","1.8820","1.9240","1.8533","1.8833","9815560"
"2011-10-26","1.8793","1.8913","1.8267","1.8653","7657181"
"2011-10-27","1.8893","1.9300","1.8740","1.9173","13040018"
"2011-10-28","1.9000","2.0000","1.8673","1.9913","18959586"
"2011-10-31","1.9667","1.9673","1.9167","1.9580","17009526"
"2011-11-01","1.8927","1.9280","1.8667","1.9253","9527620"
"2011-11-02","1.9333","1.9507","1.8833","1.9140","13123133"
"2011-11-03","2.0000","2.1660","1.9687","2.1640","37642826"
"2011-11-04","2.0973","2.1600","2.0340","2.1540","45492832"
"2011-11-07","2.1093","2.1333","2.0500","2.0847","18988026"
"2011-11-08","2.0913","2.1333","2.0480","2.1227","17517441"
"2011-11-09","2.0580","2.0993","2.0200","2.0587","14304833"
"2011-11-10","2.0627","2.1000","2.0433","2.0887","11209089"
"2011-11-11","2.1267","2.3000","2.0380","2.2427","58024111"
"2011-11-14","2.2000","2.2360","2.1747","2.2147","19884830"
"2011-11-15","2.1947","2.2933","2.1820","2.2620","13362068"
"2011-11-16","2.2320","2.3333","2.2269","2.3293","27492826"
"2011-11-17","2.3000","2.3267","2.2127","2.2453","20238965"
"2011-11-18","2.2427","2.2740","2.1693","2.1733","13537928"
"2011-11-21","2.1627","2.1627","2.0700","2.1173","15472852"
"2011-11-22","2.1173","2.1860","2.0700","2.1380","10987765"
"2011-11-23","2.1173","2.1367","2.0833","2.0967","6775692"
"2011-11-25","2.1033","2.1607","2.0720","2.1107","3593923"
"2011-11-28","2.1333","2.2187","2.1207","2.1707","10216855"
"2011-11-29","2.1660","2.2047","2.1087","2.1167","8865806"
"2011-11-30","2.1667","2.1953","2.1480","2.1827","11403969"
"2011-12-01","2.1713","2.2660","2.1320","2.1733","15451612"
"2011-12-02","2.1887","2.2460","2.1600","2.2200","12040764"
"2011-12-05","2.2353","2.3333","2.2287","2.2947","17400741"
"2011-12-06","2.2800","2.3320","2.2687","2.3247","14275643"
"2011-12-07","2.3087","2.3260","2.2533","2.2793","10113655"
"2011-12-08","2.0560","2.1100","1.9740","2.0593","49573235"
"2011-12-09","2.0360","2.0747","2.0187","2.0693","18591651"
"2011-12-12","2.0293","2.0413","2.0013","2.0273","11379849"
"2011-12-13","2.0380","2.0620","1.9274","1.9633","14910218"
"2011-12-14","1.9667","1.9787","1.8667","1.9020","17457591"
"2011-12-15","1.9113","1.9447","1.8747","1.9080","10503910"
"2011-12-16","1.9193","1.9287","1.8653","1.8667","15444067"
"2011-12-19","1.8727","1.9000","1.8247","1.8500","14804273"
"2011-12-20","1.8700","1.8967","1.8477","1.8600","12649209"
"2011-12-21","1.8607","1.8713","1.7353","1.8380","25581092"
"2011-12-22","1.8400","1.8700","1.8200","1.8513","15139522"
